Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips on How to Use Storytelling for Problem Solving with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips for integrating storytelling as a routine practice in problem solving. Learn about understanding your problem through story, storytelling techniques to analyze problems, using stories to persuade and convince, and more.",Course,2025-08-08 15:23 UTC,N/A,false,N/A,
How Thought Leadership Can Differentiate Your Brand,"<p>Thought leadership can help to build your brand, but what does it take to make you stand apart? In this course from Thought Leadership Leverage, join Denise Blasevick, CEO and founding partner of The S3 Agency, as she provides advertising, marketing, and public relations advice on how to develop a stronger leadership strategy and create a more authentic, engaging voice that can differentiate your brand from others.</p><p>Learn how to break down your thought leadership strategy into its most basic working parts. Develop the skills required to take a stand, take action, and be the change you want to see in the world. Along the way, Denise shows you how to scale thought leadership practices more effectively, creating a process that others can replicate to achieve the same results.</p><p>Note: This course was created by Thought Leadership Leverage. We are pleased to host this training in our library.</p>",Course,2024-03-21 20:16 UTC,N/A,false,N/A,
Generative AI for Continuous Improvement,"In this course, Vincent Mirabelli—a keynote speaker, trainer, and author—dives into how generative AI can transform your approach to continuous improvement. Learn how to use AI tools to optimize processes, enhance predictive maintenance, streamline quality control, and efficiently analyze customer feedback. Build more informed decision-making through AI in real-time data analysis, automated root cause identification, and process simulations. Explore relevant AI tools and techniques that empower you to make data-driven improvements. Plus, discover the impact of AI on organizational roles and culture, and strategies for managing associated risks. When you complete this course, you will be equipped to use AI-enhanced continuous improvement to drive efficiency, innovation, and competitive advantage within your organization.",Course,2026-01-29 13:00 UTC,N/A,false,N/A,
Kubernetes: Microservices (2018),"Build scalable and reliable microservices with Kubernetes. Kubernetes is a popular DevOps tool for managing containers at scale. Microservices allow developers to deploy individual app components, enabling continuous integration and increased fault tolerance. This course teaches how these technologies combine—culminating in a real-world microservices application hosted in a Kubernetes environment. Instructor Karthik Gaekwad describes the benefits of microservices and shows how they can be implemented inside the container-based architecture paradigm. Using an existing monolithic application, he breaks down its functionality, adds Kubernetes constructs, and deploys the new services into a Kubernetes environment with Minikube. Finally, Karthik introduces tools such as Helm and Jaeger, which are used along with Kubernetes to build more resilient microservices.",Course,2025-06-30 16:12 UTC,N/A,false,N/A,
Leadership Foundations (2019),"Leadership—the art of influencing and developing others to achieve their highest potential—is often identified as the most critical role in an organization. But what is effective leadership and how do you cultivate it? In this course, leadership consultant and global workforce expert Dr. Shirley Davis covers the basics of leading yourself and others. Along the way, she identifies the critical competencies and best practices for effectively leading today and in the future. Learn how to lead across differences and cultivate a more inclusive workplace; establish trust; build relationships up, down, and across the organization; lead change through agility and resilience; have difficult conversations; and more.",Course,2022-04-20 15:30 UTC,N/A,false,N/A,
Designing Learning Experiences in the Metaverse,"If you work in learning and development, you most likely know that the future is already here. Now, not only do you have to design experiences for elearning modules, microlearning, and online or hybrid classrooms, you also have to design learning platforms and curriculum that meet the unique needs and opportunities of the metaverse.<br><br>Join instructor Karl Kapp in this cornerstone skills course on effective virtual learning and development. Karl shows you how to build collaborative, three-dimensional learning experiences to take your instructional design skill set to the next professional level. Learn about the fundamentals of the metaverse for successful learning, why well-designed learning really matters, and when and how to conduct future-forward instructional experiences, evaluate your performance, overcome critical incidents, and more. By the end of this course, you’ll be ready to wield your new metaverse design skills to promote virtual collaboration, innovation for growth, and learning.",Course,2024-11-02 18:01 UTC,N/A,false,N/A,
Hebrew for Absolute Beginners,"<p>Brand new to Hebrew? This course is a simple but comprehensive audio course designed to be the easiest way to start learning and speaking Hebrew. Learning Hebrew can be easy or hard, and it all depends on HOW you start. Start the hard way (reading grammar and memorizing words), and you’ll quickly think, “Languages are just not my thing.” Start easy, and you’ll be shocked by how much Hebrew you’ll learn. Listen to real native speakers to get accustomed to the flow of Hebrew. Hear everyday conversations to learn practical dialogue. And start speaking from your first lesson. This course also includes a PDF that covers everything from the audio tracks and much more.</p>

<p>This course was created by InnovativeLanguage.com and EverCourse. We are pleased to host the course in our library.</p>",Course,2025-08-18 13:03 UTC,N/A,false,N/A,
A Content Marketer’s Guide to Using ChatGPT,"To succeed in the modern era, content marketers need to understand the effective and ethical applications of generative AI like ChatGPT. In this course, marketing and branded content expert Melanie Deziel highlights practical ways you can use ChatGPT to streamline your content strategy, production, revision, and publication workflows. Go over potential benefits and inherent risks of using generative AI, as well as how to mitigate the risks. Find out how to use ChatGPT to generate and refine content topics and ideas, outline content more efficiently, and identify coverage gaps. Learn how ChatGPT can help you produce short-form promotional content and identify key points within long-form content pieces. Discover how you can use effective prompting to modify existing content. Plus, experiment with the various applications of ChatGPT as a content marketing tool.",Course,2024-08-14 15:05 UTC,N/A,false,N/A,
Head and Heart: The Art of Modern Leadership,"<p>What does it take to become a truly successful leader? The answer may not be what you think. In the 2023 book <i>Head & Heart: The Art of Modern Leadership</i>, author Kirstin Ferguson—award-winning columnist, leadership expert, and 2021 Thinkers50 Top 30 Thinker to Watch—explores the challenges and opportunities of leadership today and shows readers how to inspire, influence others, and make an impact. Tune into this audiobook summary from Next Big Idea Club to hear Kirstin as she shares five key insights from <i>Head & Heart</i>. Find out why leadership is simply a series of moments, why to live is to lead, how to master the art of modern leadership, why modern leaders monitor their word-to-wisdom ratio, and how to start reading the room like a pro.</p><p>This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-09-04 14:42 UTC,N/A,false,N/A,
Understanding Intersectionality,"Diversity, equity, and inclusion (DEI) initiatives are an important part of a healthy work environment. But DEI values only scratch the surface of this critical area—particularly since many people belong to more than one marginalized social group, including race, gender, sexuality, age, ability, and socioeconomic status, to name just a few. To truly understand the unique experience of the people you work with requires taking a deeper look, and this is where intersectionality comes in. Intersectionality is one of the more important topics in DEI, and in this course, GET PHLUID trainer and DEI expert Cory Wade explains the significance of intersectionality and how it manifests in professional settings. Join Cory as they illustrate how you can use intersectionality to promote equality in the workplace, covering topics like becoming intersectionality conscious, recognizing privilege and inequity, being an effective ally, promoting the incentives of intersectionality, and more.",Course,2025-04-09 14:47 UTC,N/A,false,N/A,
Auditing Design Systems for Accessibility,"<p>If a great design isn’t open and usable for everyone, how great is it? Designing accessibility into products is crucial to ensuring that you’re creating experiences that include people with disabilities. In this course, Anna E. Cook shows you how to conduct an accessibility audit on your design systems to ensure accessible experiences, helping you meet your users’ needs—while also gaining competitive advantages by building truly innovative and amazing products.</p><p>
Join Anna as she covers what you need to know about an accessibility audit, and how to audit designs, client-side code, and documentation. She shows you how to document your a11y audit and make it actionable, explains key considerations for prioritizing your a11y audit and the issues it discovers, and how to share results with the consumers of your design system.",Course,2025-04-17 15:15 UTC,N/A,false,N/A,
The AI-Driven Project Manager: 10X Your Productivity with Generative AI,"Learn how to uplevel your projects and streamline your work with ChatGPT. In this course, senior program manager and founder of Path to PM Jean Kang shares proven tips to help you automate and speed up common project management tasks. Learn how to use ChatGPT to build a project plan, based on factors such as resource availability and project timelines. Discover how to leverage ChatGPT for risk and change management to quickly identify potential issues and take action before they threaten project outcomes. Explore ways to use ChatGPT to craft stakeholder communication tailored to each individual, taking into account their preferences and communication style. Finally, Jean delves into using ChatGPT for project tracking and reporting, so that you can stay on top of project progress and make data-driven decisions.",Course,2024-08-15 10:39 UTC,N/A,false,N/A,
Diversity and Inclusion in Marketing: Inclusive Language for Marketers,"Words matter. For as much as words can make a positive impact with an audience, they can also divide and alienate us. Now more than ever, it’s critical for marketers to intentionally use inclusive language. In this course, Andrew McCaskill, Senior Director of Global Communications at LinkedIn, shares practical guidance on this critical topic. Andrew outlines the basics of inclusive language, and he provides a framework to evaluate your marketing assets, such as checking for stereotypes and gender-inclusive language. If you’re looking for a guide to help you navigate the critical aspects of diversity and inclusion, join Andrew in this course.",Course,2021-11-05 01:21 UTC,N/A,false,N/A,
C# Practice: Attributes,"Looking to get up to speed with attributes in C#? This course was made for you. Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore .NET attributes skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice using obsolete attributes, custom attributes, custom properties, custom constructors, attribute restrictions, and reflections.",Course,2025-05-07 12:47 UTC,N/A,false,N/A,
Sales Foundations,"What makes someone effective at sales? A genuine desire to help others solve problems. In this course, former Genentech senior leader and Braintrust founder Jeff Bloomfield explains why and how the best salespeople learn how to see through the eyes of their customers. He outlines strategies to help you connect with and understand your customers' needs, and position your product or service as the solution to their problem. He also provides a step-by-step how-to guide to creating your own sales process or identifying gaps in your existing one.",Course,2022-07-20 18:11 UTC,N/A,false,N/A,
The New AI Tech Stack: AI Literacy for Tech Leaders,"This course acts as a comprehensive resource designed to equip tech professionals with a deep understanding of the AI technology landscape and how the AI tech stack works. This course provides a practical and structured approach to mastering AI concepts, technologies, and implementation strategies, enabling you to effectively lead and manage AI initiatives within your organization. Through a combination of proven knowledge and real-world case studies, gain the skills and confidence to navigate the rapidly evolving AI ecosystem.",Course,2025-01-14 21:43 UTC,N/A,false,N/A,
COBOL Essential Training,"Since its inception over 60 years ago, COBOL code has worked its way into everything from ATM machines to essential government operations. While most modern developers aren't spinning up new programs using this legacy programming language, organizations are often willing to pay a premium for candidates who can review and update existing COBOL code. This course was designed to help new and experienced programmers alike add COBOL (or add COBOL back) to their skill set. Instructor Peggy Fisher shows how to get a COBOL development environment up and running and how to start programming. She reviews the language's data types and constants, control structures, file organization and processing methods, tables, and strings. Challenges issued along the way will help you practice what you've learned.",Course,2022-08-25 18:59 UTC,N/A,false,N/A,
Using Generative Artificial Intelligence (AI) in Supply Chains,"In this course, instructor Daniel Stanton explains how to use generative AI tools to automate, accelerate, and improve tasks and processes in supply chains. He provides a variety of real-world examples of how to leverage generative AI, from translating jargon and explaining Incoterms, to crafting explanations for customers and colleagues and writing code. Along the way, take a deep dive into the benefits—and the risks— and find out how to avoid common pitfalls that could undermine credibility and lead to costly errors. By the end of this course, you’ll be equipped with the skills required to take advantage of this rapidly evolving technology.",Course,2026-02-10 14:23 UTC,N/A,false,N/A,
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2022-07-01 16:22 UTC,N/A,false,N/A,
Change Management for HR,"<p>Change in the workplace is never smooth or easy, but it doesn’t have to be such a slog. Join instructor and HR expert Lou Adler in this exciting new course designed uniquely for HR leaders tasked with navigating and managing complex changes within their organizations.</p><p>Learn how to develop an effective change management strategy before you start designing and deploying specific tactics. Explore proven ways to make the business for change management in HR, create a long-term change management plan, establish a project management approach, scale your plan and make adjustments where needed, and drive innovation through continuous improvement. By the end of this course, you’ll also be equipped with a few quick, easy-to-use tips on how to avoid common change management pitfalls.</p>",Course,2024-09-02 22:16 UTC,N/A,false,N/A,
Data Visualization: Storytelling,"<p>We are wired for story. We crave it. Storytelling has played an integral role in our ability to make progress as a species. It should come as no surprise, then, that presenting data and information in story form maximizes the effectiveness of our communication. We can create deeper emotional responses in our audience when we present data in story form.</p><p>Join data visualization expert Bill Shander as he guides you through the process of turning ""facts and figures"" into ""story"" to engage and fulfill our human expectation for information. This course is intended for anyone who works with data and has to communicate it to others, whether a researcher, a data analyst, a consultant, a marketer, or a journalist. Bill shows you how to think about, and craft, stories from data by examining many compelling stories in detail.</p>",Course,2022-10-15 11:00 UTC,N/A,false,N/A,
XAI and Interpretability in Cybersecurity,"This course unlocks the power of explainable AI for smarter cybersecurity decisions, equipping you to understand AI reasoning and address its limitations for transparency and effectiveness. Instructor Stephanie Itimi delves into the mechanics of XAI models, exploring model-agnostic (LIME, SHAP) and model-specific (decision trees, feature interaction maps) techniques. She provides tools for hands-on analysis of AI models in cybersecurity scenarios, showing you how to apply XAI at both strategic and operational levels. Check out this course to employ confident, informed use of AI in cybersecurity decision-making within an organization.",Course,2025-06-18 14:49 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton (2022),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with over one million social media followers—as she shares tips and answers to common questions about Microsoft Excel. Topics include removing and rearranging data using the PivotTable, creating custom number formats, scanning data from paper documents into Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2023-03-23 19:54 UTC,N/A,false,N/A,
Nano Tips to Overcome Your Fear of Public Speaking with Nausheen I. Chen,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this short course, Nausheen I. Chen shares quick tips for speaking in public. Whether you’re speaking on stage in front of a large group, or presenting online or on camera, Nausheen gives you tips to help you speak confidently and fearlessly. She speaks about why otherwise confident leaders freeze up on camera, warmups you can do before speaking to be more at ease, how to achieve maximum impact with your voice, and more. She also explains common pitfalls to avoid when practicing these skills.",Course,2025-10-01 13:54 UTC,N/A,false,N/A,
Climate Adaptation and the Cost of Inaction,"<p>How well will the world adapt to increasingly frequent extreme climate events? The answer depends on your leadership approach. To date, most government and business leaders have been focusing exclusively on climate mitigation, often at the expense of climate adaptation.</p><p>In this course, join Charmian Caines, a managing director and senior partner at BCG, as she makes a case for why governments and businesses can—and must—focus closely on doing both. Charmian shows you how to build scenarios assessing the economic, social, and natural damage of rising temperatures and develop financial and operational plans to combat rising sea levels, raging fires, and other extreme weather events.</p><p>Note: This course was created by Boston Consulting Group. We are pleased to host this content in our library.</p>",Course,2025-03-06 21:27 UTC,N/A,false,N/A,
Advanced AI Governance: Operationalizing AI Controls and Continuous Monitoring,"As AI technologies continue to evolve and infiltrate every aspect of our businesses, the need for robust AI governance has never been more critical. In this course, AI governance pioneer Meghan Maneval dissects AI governance to give you an understanding of AI regulations and their role in developing your organization’s AI controls. Explore the critical steps to operationalizing AI governance by integrating controls into your business processes and conducting business impact assessments. Plus, discover practical steps for building an AI continuous monitoring program that scales into the future.",Course,2025-06-09 18:29 UTC,N/A,false,N/A,
JavaScript: Hashmaps,"Hashmaps are a very useful data structure in programming languages. In JavaScript, data is stored in key-value pairs, using hashmaps to allow for quick retrieval of data. In this course, software engineer and web evangelist Tiffany Graves covers what hashmaps are and why they are used. Learn how the built-in functions for hashmaps, get() and set(), offer quick data retrieval, which leads to an optimal time complexity. Explore the relatively optimal space complexity of Hashmaps in JavaScript, as well.  Plus, dive into a discussion of hashing and the basics of what a hash function is.",Course,2024-09-10 23:30 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2022-08-19 17:33 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-09-24 17:34 UTC,N/A,false,N/A,
Salesforce for Marketers,"For anyone working in marketing, creating two-way, real-time engagement with customers can be a constant challenge. And predicting engagement so you can get optimal outcomes out of your campaigns can be difficult as well, as can measuring and reporting on the effectiveness of your campaigns. In this course, Swapnil Amin shows you how to use Salesforce to address these issues effectively and efficiently. He covers the tools that can help you know your customer, understand their needs, and personalize your strategy with Einstein intelligence platform. Swapnil shows you how to use automation to develop an optimal marketing strategy, build deeper connections with companies, and reach your digital marketing goals more efficiently.",Course,2023-06-03 16:27 UTC,N/A,false,N/A,
AI Evaluations: Foundations and Practical Examples,"AI agents are helping us achieve more and spend less. Although it's easier than ever to build AI agents, it can be challenging to evaluate their performance. In this course, generative AI advisor Mahesh Yadav shares techniques that allow you to go from zero to hero in evaluating AI agents. Learn how to set up your AI agent evaluation and scale it. Explore tricks and tips that will save you time and money as you build an evaluation strategy for your AI agents and execute that strategy. When you complete this course, you'll have a comprehensive evaluation plan for testing AI agents.",Course,2025-10-20 13:16 UTC,N/A,false,N/A,
Moving DEI from Intention to Impact with Ruchika Tulshyan,"You’ve probably encountered initiatives at your workplace focused on increasing inclusion. Some seem to work, some have no effect, and some even have a negative impact. What differentiates these efforts at creating inclusive environments? While they may all be created with good intentions, good intentions alone are not enough. In fact, as Ruchika Tulshyan illustrates in this course, good intentions without awareness can be the biggest barrier to creating a truly inclusive environment, because many of us believe intention alone is enough to make change. They’re not. Your intentions may be positive, but they may not be received positively. True impact requires much more effort than simply having good intentions, it takes learning and regular practice. Take this course to find out how.",Course,2022-12-02 14:02 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-06-10 15:24 UTC,N/A,false,N/A,
Enhance Your Coaching Impact with Generative AI,"<p>Artificial intelligence can be leveraged in a vast number of ways to assist in your professional goals, and in this course, Sara Canaday teaches leaders and managers how to harness the power of  generative AI, specifically ChatGPT, to enhance their coaching impact. Sara shows you how generative AI can simulate coaching scenarios, generate insightful  questions that foster a more productive dialogue, and allow you to practice your coaching skills in a risk-free environment. But that is not all, with ChatGPT you can get instant, constructive feedback on your role-play techniques. Join Sara to find out how generative AI can strengthen your role as a leader and help you to better support your employee’s growth, performance, and development.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/ai-for-managers-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-08-26 13:31 UTC,N/A,false,N/A,
Content Marketing: ROI,"Today, it's widely understood that content marketing is incredibly valuable—but the challenge is often figuring out if your content marketing efforts actually worked. In this course, learn how to establish goals and metrics for content marketing, calculate ROI, develop assets to drive results, and effectively report campaign progress to stakeholders. Instructor Velera Wilson explains how to collaborate with stakeholders to decide on common marketing goals, as well as determine the right metrics to measure. Velera then shares an ROI formula for calculating the return on your content marketing tactics. Plus, learn how to identify what content types best support your desired results, leverage different tools to track and evaluate your campaign, determine which variables to adjust to optimize performance, and more.",Course,2022-05-03 16:54 UTC,N/A,false,N/A,
Nano Tips for Resolving Conflict with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to deal with difficult situations and resolve conflict like a seasoned pro, following advice and practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn the secrets of dealing with difficult people using empathy, active listening, and proven techniques for managing interruptions. Discover the skills you need to know to diffuse strong emotions and encourage behavioral growth with Shadé ‘s three-part conflict resolution framework. Along the way, get tips for de-escalating conflict by building trust, calling out the core issue, and reflecting coolly to foster mutual understanding. By the end of this course, you’ll be equipped with new, constructive, dialogical tools for driving engagement toward a lasting resolution.</p>",Course,2025-11-05 16:03 UTC,N/A,false,N/A,
Uncertain: The Wisdom and Wonder of Being Unsure,"<p>Most people often feel embarrassed about uncertainties or blind spots in their knowledge. But Maggie Jackson—a journalist who covers social trends, with a particular focus on technology’s impact on humanity—argues that, properly understood, our ignorance can be the secret to enhanced performance and groundbreaking ideas. In this audiobook summary, Maggie shares five big ideas from her book, <i>Uncertain: The Wisdom and Wonder of Being Unsure</i>.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-31 12:27 UTC,N/A,false,N/A,
Recruiting Techniques to Reveal Transferable Skills,"When filling opening job requisitions, do you often feel constricted by searching a pool of candidates filtered by job title or by specific industries? Imagine how satisfying it would be to have access to a larger pool of talent, one that might not be on the radar of your competitors. In this course, Barbara Bruno shows you how to identify top candidates based on the skills they have that will transfer to the jobs you need to fill, regardless of their previous titles or professional experience. Barbara explains how to identify transferable skills, revise your job requisition, and how to modify your interviewing and hiring processes. By focusing on transferable skills, you can provide your company with a tremendous competitive advantage—one that will fill open requisitions faster, help candidates advance in their career, and improve engagement and retention.",Course,2024-10-31 00:19 UTC,N/A,false,N/A,
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2022-07-13 15:12 UTC,N/A,false,N/A,
Nano Tips for Charismatic Communication with Ravi Rajani,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, B2B sales expert and consultant Ravi Rajani offers tips on how to enhance your communication skills by allowing your charisma to support you in being more persuasive and building real connection with your audience. Find out how to respond to a question when you don’t know the answer and how to accept and give compliments gracefully. Learn how asking meaningful questions can help you build great relationships. Discover how to become a charismatic storyteller, communicate your ideas well under pressure, and become the most interesting person in any room. Get body language tips for boosting your charisma. Plus, explore ways to avoid charisma-crushing behaviors. With these concise lessons, you can fit learning into even your busiest days.",Course,2024-08-07 22:51 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-09 15:49 UTC,N/A,false,N/A,
Confident Performance: Excelling When It Counts,"Does confidence come from being great at what you do? Or does feeling confident actually lead you to becoming great? In this course, TJ Guttormsen teaches you how to perform confidently, no matter what level of skill you currently have—without veering into being delusional or arrogant. TJ explains how to create realistic expectations for your outcomes and abilities, and how to communicate those to others so that even when you know that you're not great at something (yet), you can still do it without feeling nervous or stressed.
Learn how to deal with and understand your own confidence-hindering emotions; minimize self-imposed pressure and overcome perfectionism, self-doubt, fear of judgment; deal with stress during your performance; and more.",Course,2024-11-26 18:23 UTC,N/A,false,N/A,
Looking into the Mirror: Using Self-Awareness to Excel at Work,"<p>In this course, Leadership Strategist Illianna Acosta highlights practical ways to harness the power of self-awareness to amplify your work and leadership impact. Begin by defining what self-awareness truly is and discovering how to tap into it to identify your unique strengths and superpowers. </p>
<p>From there, explore how self-awareness fuels energy, motivation, and performance by deepening your understanding of how your thoughts and emotions shape your work. Learn practical techniques to enhance self-awareness through mindfulness, as well as internal and external feedback. </p>
<p>With this heightened awareness, develop the ability to communicate more intentionally and effectively at work while recognizing how your mindset shapes your leadership style and overall impact.</p>",Course,2025-07-03 13:30 UTC,N/A,false,N/A,
Nano Tips for Video Content Creators with Tejas Hullur,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Tejas Hullur shows you what it takes to craft your own story and become a successful content creator on social media. Tejas—who has nearly 500,000 followers and 6 million likes on TikTok—shares quick tips on taking your first steps, generating ideas, and finding a unique voice for your brand. Explore the power of narrative storytelling on social media platforms to build up a loyal following for your message and voice. Tejas gives you pointers and real-world examples on how to keep your content fresh, avoid common mistakes, and negotiate successful deals to continue growing your brand.",Course,2024-12-02 13:33 UTC,N/A,false,N/A,
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>In this installment award-winning leadership strategist and peak performance specialist Shadé Zahrai shows you how you can succeed professionally and in life using a growth mindset and mental agility.</p>

<p>Shadé explains how to master your inner dialogue by tapping into the power of “yet”, shifting your focus to possibility, and using language for growth. She covers ways to overcome obstacles through changing your perspective on failure, emphasizing growth over speed, and detaching from external approval. Plus, Shadé gives you several practical tips on how you can apply a growth mindset toward others in how you respond to compliments and how you give and receive feedback.</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-06-26 16:29 UTC,N/A,false,N/A,
Project Management Power Moves: Leading with Influence,"What is leading with influence, and how can you employ it more effectively as a project management professional? In this course, senior program manager and founder of Path to PM Jean Kang shares proven tips and insights on how to lead with influence, communicate with impact, and drive change in a dynamic landscape. From managing stakeholders to negotiating like a pro, explore everything you need to know to take your PM skills to the next level. Get ready to make PM power moves and amplify your impact every day.",Course,2024-08-10 12:54 UTC,N/A,false,N/A,
How to Advocate for Yourself in Your Career Nano Tips with Tiffany Uman,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. Here, career strategy coach Tiffany Uman shares tips on how to advocate for yourself in your career. Go over ways to own your wins, say no to your boss or a coworker, ask for help and feedback, and succeed in your remote job. Find out how to stop saying “we” and asking for permission, as well as how to communicate confidently. If applicable, learn the best time to announce your pregnancy. Plus, explore ways to respond when your idea gets shot down and learn how to avoid a common career growth mistake. With these concise videos, you can make learning fit into even your busiest days.
<br><br>
Note: This course was created by Tiffany Uman. We are pleased to host this training in our library.",Course,2025-05-28 17:58 UTC,N/A,false,N/A,
Identity Threat Protection with Sentinel: Advanced Strategies,"<p>Are you looking to upskill with Microsoft Sentinel, the popular cloud-native security information and event management (SIEM) tool? In this course, instructor Venicia Solomons helps you develop a solid foundational understanding of the key principles and challenges of identity and access management security, and how to use Sentinel to detect identity and access management (IAM) threats effectively.</p><p>Get hands-on experience setting up, configuring, and utilizing Sentinel for detecting and responding to IAM threats. This course focuses on demonstrating advanced-level skills, showing you how to leverage Sentinel’s built-in functionalities for enterprise-scale IAM security management. By the end of this course, you’ll be prepared to apply your new skills in real-world scenarios and protect your organization from sophisticated identity-based threats.</p>",Course,2025-06-08 22:19 UTC,N/A,false,N/A,
Global Marketing: Expand the Reach of Your Product and Service Offerings,"In today’s global economy, your marketing team is always on the lookout for new opportunities. In this course, instructor Doug Ladd outlines the core concepts and skills required to expand the reach of your product and service offerings to meet the needs of the new global consumer. Learn how to access and navigate an ever-expanding global market to determine which marketing approach is right for your brand. Gather insights and evaluate prospective opportunities using analytic tools like the PESTEL framework. Along the way, you’ll explore your options for global expansion, information gathering, and decision-making, as well as how to address key issues for marketers around the world, including pricing, currency changes, distribution, social media, digital marketing, and more.",Course,2024-11-19 18:36 UTC,N/A,false,N/A,
